codigopais,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ATG,0.0227,0.0195,0.0153,0.0118,0.0078,0.0041,0.001,0.0905,0.0001,0.0001,0.0001
ARG,0.5264,0.0866,0.0948,0.1288,2.6466,2.474,0.6901,1.883,1.2626,2.8112,0.2219
BHS,0.0712,0.0536,0.0381,0.0368,0.0354,0.0621,0.0833,0.0185,0.0248,0.2967,0.0105
BRB,0.0023,0.0035,0.004,0.0039,0.0039,0.0038,0.0091,0.0038,0.0037,0.0147,0.0001
BLZ,0.3074,0.2913,0.2743,0.2352,0.2422,0.1793,0.363,0.2026,0.1961,0.1878,1.1925
BOL,60.2055,11.0158,8.438,5.9578,70.3912,7.6435,5.8587,3.9913,3.4571,25.7134,10.2342
BRA,19.9493,10.9756,0.7226,4.0674,11.0435,6.7911,8.6466,1.5162,2.0437,26.646,48.7105
CAN,4.873,4.5093,4.7281,2.3441,3.7968,5.0901,5.4594,6.2102,8.7701,7.571,3.9461
CHL,156.7839,1.7045,1.5796,2.1168,66.5806,76.2133,8.2895,14.0166,15.2293,15.7494,7.4602
COL,1361.1072,780.5439,740.089,732.4043,790.0961,1102.4986,1333.855,1012.0615,833.9237,861.1853,943.2533
CRI,0.6132,0.2454,0.2078,0.3845,0.389,0.263,0.1386,0.5436,0.1294,0.3034,0.2214
CUB,5.4642,4.8972,59.3801,2.3353,2.125,2.216,141.1904,213.335,7.8447,2.9266,80.3058
DMA,0.0348,0.0133,0.0227,0.0639,0.1942,0.1415,0.0218,4.6859,0.0201,0.0386,0.0142
ECU,1.9672,1.6336,2.3373,2.3244,0.2787,2.1729,43.8946,7.4591,23.4748,11.3386,6.0372
SLV,23.5381,36.038,14.8164,14.5634,66.813,58.9484,69.5848,87.9101,74.3997,119.412,39.8363
USA,21.5338,26.1716,8.3264,21.5715,22.4282,20.4339,5.9856,5.2536,0.7582,3.2009,18.5539
GRD,0.0693,0.0444,0.0303,0.0264,0.0243,0.0226,0.0218,0.0364,0.0228,0.022,0.0001
GTM,72.3498,20.3989,29.7735,82.2674,82.29,77.376,76.0098,78.8786,75.4069,72.0017,135.4112
GUY,3.238,3.0714,1.3409,1.2631,1.2324,1.1394,1.0776,1.0328,4.9707,3.8894,0.118
HTI,1393.0553,24.0428,89.501,22.6856,26.9751,25.9853,182.8599,39.4463,33.0129,81.6043,92.4144
HND,7.4943,9.2132,2.9432,3.1041,18.7102,83.413,95.5741,85.1012,91.3681,105.2312,523.2809
JAM,3.317,2.572,2.688,2.4082,2.4574,2.3136,3.0267,2.2482,2.102,2.0923,0.0004
MEX,130.6901,73.0956,21.7292,42.0405,38.4249,49.0926,36.2109,64.3851,49.9761,42.535,68.8865
NIC,63.5105,25.3003,16.8104,15.9678,33.52,13.0579,20.631,20.4164,14.6434,11.3322,139.8949
PAN,0.6309,0.5818,0.2009,0.3667,0.5425,0.6262,0.6343,0.7146,0.7194,0.6521,0.1422
PRY,5.796,3.8297,3.2782,7.2459,15.9308,33.1188,3.6751,3.6938,7.8015,12.4437,1.5664
PER,68.6512,53.4011,72.4336,41.888,31.4746,11.0335,0.2517,38.579,38.0314,8.9141,0.8066
DOM,5.8841,8.5715,12.6841,7.6009,6.6037,8.5621,11.6584,13.587,7.4447,4.3271,7.2165
VCT,0.269,0.2616,0.2383,0.5515,0.1799,0.1723,0.2122,0.1103,0.0983,0.1152,0.0452
LCA,0.052,0.0203,0.0012,0.1272,0.0001,0.0001,0.0119,0.0001,0.0001,0.0028,0.0001
TTO,0.1569,0.0827,0.0507,0.0438,0.0415,0.0332,0.0066,0.0789,2.165,1.2422,0.169
URY,0.6834,0.529,0.4491,0.4247,0.6351,1.9245,1.0338,0.6898,0.1866,1.4896,0.1302
VEN,24.0095,6.3035,5.346,6.5394,6.3379,123.6878,334.8651,1024.6852,616008.7553,31287.68,5523.2803
