codigopais,nombrepais,numeropais,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,prediccion
ARG,Argentina,54,"0,1520913677","0,1315405271","0,1057786822","0,09691667469","0,09601520083","0,08313310235","0,07023444139","0,07456744637","0,09954684633","0,1253808298","0,1688593237","0,1870977921",0.1078254729750909
BOL,Bolivia,591,"4,886670552","4,352523439","4,100250144","3,91834763","3,566976427","3,608942543","3,672932807","3,753793546","3,445923814","3,265948534","3,075410112","3,506961666",2.9358618172000206
BRA,Brasil,55,"0,1395645542","0,1228728807","0,1129354554","0,1099024371","0,1078141444","0,1607416961","0,1525748326","0,1307855762","0,1530292311","0,1715510349","0,246190665","0,2549450232",
CAN,Canada,100,"0,07414367131","0,06843956686","0,0686186551","0,07237845076","0,07483343654","0,08186624803","0,08438018959","0,07689394882","0,0750910158","0,07530259699","0,04994656329","0,0418190164",0.0698701081912727
CHL,Chile,56,"0,02870721657","0,02822864853","0,02695978498","0,02564863767","0,02336603351","0,02432702302","0,02589307829","0,02407749518","0,02364801037","0,02490185682","0,02806453884","0,02204961353",0.0243254229152726
COL,Colombia,57,"1,406617366","1,224478537","1,083430494","1,16452341","1,093046103","1,704227414","1,835748837","1,865686814","1,997341378","2,202139371","2,561793016","2,737440602",2.4439093643636625
CRI,Costa Rica,506,"1,409209523","1,216529083","1,190605712","1,170565354","1,141803897","0,9779761755","0,9268503482","0,9259802622","0,8547072285","0,8590468677","0,8442786592","0,9242503999",0.7216101538581796
CUB,Cuba,53,0,0,0,0,0,0,0,0,0,0,0,0,0.0
ECU,Ecuador,593,"3,736630473","3,381318287","2,816307995","2,584686117","2,430491069","2,404619529","2,613707296","2,731717752","2,825420021","2,999485743","3,367568045","4,113790943",2.742830571127272
SLV,El Salvador,503,"18,81966487","17,96484307","18,30179127","18,03685945","18,41407274","18,23780572","18,85618201","20,0020639","20,72084003","21,04358007","24,14531176","26,05868744",22.26242936636368
USA,Estados Unidos,200,"0,0394047047","0,03912888707","0,03877821317","0,03926215646","0,03705269503","0,03613090468","0,03385911992","0,03258659101","0,03380402584","0,03296856028","0,03146652882","0,02959029021",0.0306329740221817
GTM,Guatemala,502,"10,38606325","9,670274475","10,01185236","10,00768644","9,941580632","10,42337023","11,14649327","11,71444212","12,87048787","13,80788286","14,69290518","17,91875076",14.130947537981797
GUY,Guyana,592,"10,71409029","11,16654254","11,54930112","7,873521716","7,986562494","7,074411752","6,004732702","6,788727516","6,969885127","7,351682082","7,843244024","6,810506861",5.710972523927239
HTI,Haiti,509,"12,42740168","11,92555706","11,76114012","11,95100399","13,05898252","14,8017081","16,86215247","17,38655134","18,02632497","20,46653853","23,81600439","20,03588244",22.475401849818358
HND,Honduras,504,"16,52787351","15,86980545","15,7614147","16,7475021","17,05522393","17,47493759","17,79080208","18,68394806","19,84622674","21,52838034","23,45427169","25,2852348",22.292536743636447
JAM,Jamaica,876,"15,32799142","14,57706478","14,64256069","15,22614044","16,32309996","16,64137384","17,28638122","16,62961192","15,90266164","16,18709848","22,20372956","25,28859763",19.08812049927269
MEX,Mexico,52,"2,087373049","1,986096318","1,932298949","1,819525111","1,88558627","2,238578114","2,660288002","2,784549546","2,926061567","3,074974613","3,931927537","4,25272043",3.5350775928727103
NIC,Nicaragua,505,"9,416988084","9,346953892","9,64963314","9,845233912","9,597292432","9,387219124","9,544573359","10,11685126","11,55295419","13,38770124","14,74063992","15,34929429",13.270461541818122
PAN,Panama,507,"1,392649439","1,061516517","1,016332053","1,011844324","1,515181866","1,024554554","0,8677921934","0,8574481494","0,8284031579","0,8671484062","0,8442711471","0,8925145063",0.7512311128290889
PRY,Paraguay,595,"1,503564462","1,601689109","1,905811202","1,618861907","1,254744879","1,52890987","1,820071644","1,80546417","1,697606848","1,756056272","1,647414923","1,482156348",1.739143527054548
PER,Peru,51,"1,717568742","1,570176087","1,447167998","1,345713969","1,313087423","1,435714725","1,50283872","1,446035418","1,448694713","1,456670597","1,45688808","1,608823721",1.3930078103636347
DOM,Republica Dominicana,809,"7,216834999","7,307803231","7,023717916","7,155943135","7,160473587","7,301640918","7,276164533","7,722445414","7,968756794","8,343255633","10,56710185","11,39898799",9.093664691872732
URY,Uruguay,598,"0,3100226064","0,2686185312","0,1786858012","0,1718170682","0,1709252269","0,1694382678","0,1580161471","0,1702861589","0,1766374205","0,1833571772","0,2074604647","0,2119597225",0.1490619610090924
VEN,Venezuela,58,"0,0363689676","0,04360434932","0,03094787807","0,03234454446","0,02653623451",0,0,0,0,0,0,0,-0.0140360674356365
