country,country_id,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua y Barbuda,ATG,372.0,369.0,338.0,295.0,247.0,203.0,156.0,108.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0
Argentina,ARG,-18051.0,-12450.0,-7869.0,-4970.0,-1011.0,3127.0,5369.0,5801.0,5522.0,5215.0,4926.0,4690.0,4478.0,2344.0,2344.0
Bahamas,BHS,1728.0,1476.0,1617.0,1899.0,1384.0,1048.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,1001.0,0.0,485.0
Barbados,BRB,19.0,296.0,75.0,-36.0,-54.0,-64.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,-65.0,0.0,-28.0
Belice,BLZ,2707.0,2702.0,2694.0,1644.0,1583.0,1529.0,1504.0,1452.0,1363.0,1283.0,1222.0,1185.0,1164.0,0.0,577.0
Bolivia,BOL,-13667.0,-13417.0,-13056.0,-12592.0,-12107.0,-11688.0,-11371.0,-10972.0,-10525.0,-10071.0,-9669.0,-9345.0,-8978.0,-4666.0,-4666.0
Brasil,BRA,-30331.0,-35373.0,-29357.0,16843.0,33631.0,43451.0,35308.0,24940.0,4764.0,82589.0,56362.0,67934.0,69186.0,56880.0,20376.0
Canadá,CAN,210817.0,237962.0,240878.0,227724.0,228828.0,245309.0,242475.0,195649.0,232738.0,320494.0,361274.0,417974.0,391914.0,195181.0,195181.0
Chile,CHL,20188.0,22516.0,24330.0,26064.0,28128.0,30925.0,36566.0,52709.0,55709.0,126525.0,214697.0,237358.0,230162.0,98439.0,113709.0
Colombia,COL,-49575.0,-63246.0,-46902.0,-34185.0,-46273.0,-55913.0,-64686.0,-67516.0,-41064.0,79978.0,415618.0,494364.0,395803.0,229437.0,211978.0
Costa Rica,CRI,6273.0,5833.0,5283.0,4728.0,4258.0,3983.0,3950.0,3996.0,4065.0,4150.0,4196.0,4198.0,4154.0,2084.0,2084.0
Cuba,CUB,-14434.0,-24636.0,-30328.0,-27718.0,-28752.0,-17531.0,-15301.0,-14543.0,-14372.0,-14454.0,-14498.0,-14219.0,-13686.0,-7068.0,-7068.0
Dominica,DMA,-332.0,-347.0,-228.0,-243.0,0.0,158.0,-445.0,1445.0,-393.0,179.0,187.0,194.0,326.0,100.0,57.0
Ecuador,ECU,-9625.0,-8776.0,-8487.0,-8315.0,-8135.0,-7832.0,-6151.0,2288.0,14740.0,27063.0,49359.0,153372.0,71801.0,35894.0,35894.0
El Salvador,SLV,-56863.0,-56087.0,-55962.0,-54686.0,-53440.0,-50554.0,-49086.0,-49130.0,-51282.0,-47499.0,-50616.0,-54158.0,-55143.0,-25214.0,-27343.0
Estados Unidos,USA,1108509.0,1095864.0,1031010.0,1030731.0,1322433.0,1323368.0,1320840.0,1250914.0,1221849.0,1449371.0,1377630.0,1200796.0,1158444.0,675560.0,561580.0
Granada,GRD,-447.0,-455.0,-459.0,-453.0,-292.0,-204.0,-190.0,-190.0,-190.0,-190.0,-190.0,-190.0,-190.0,0.0,-85.0
Guatemala,GTM,-40617.0,-42607.0,-43051.0,-36072.0,-33204.0,-32572.0,-35666.0,-40409.0,-48162.0,-39266.0,-48049.0,-56884.0,-58095.0,-23142.0,-29118.0
Guyana,GUY,-13629.0,-13886.0,-14130.0,-14327.0,-14512.0,-7152.0,-6912.0,-6715.0,-6524.0,-6311.0,-6110.0,30080.0,-24678.0,802.0,-4316.0
Haití,HTI,-27017.0,-27644.0,-27949.0,-28437.0,-29049.0,-29679.0,-30347.0,-31416.0,-32698.0,-33902.0,-34766.0,-35007.0,-34635.0,-33872.0,-32977.0
Honduras,HND,-5039.0,-5039.0,-5196.0,-5418.0,-5664.0,-5896.0,-6094.0,-6302.0,-6512.0,-6685.0,-6782.0,-6768.0,-6550.0,-6199.0,-5779.0
Jamaica,JAM,-17588.0,-17188.0,-15946.0,-14244.0,-12578.0,-11494.0,-11329.0,-11329.0,-11329.0,-11329.0,-11329.0,-11329.0,-11329.0,0.0,-5664.0
México,MEX,-309663.0,-321847.0,-289132.0,-41156.0,4184.0,-48160.0,-101719.0,-100413.0,-82173.0,33094.0,-12438.0,-99430.0,-47764.0,-9949.0,-52649.0
Nicaragua,NIC,-31360.0,-30675.0,-29914.0,-29081.0,-28224.0,-27388.0,-26589.0,-25571.0,-24359.0,-23081.0,-21841.0,-20739.0,-19733.0,-10384.0,-10384.0
Panamá,PAN,4330.0,4568.0,4765.0,4953.0,5167.0,5447.0,5926.0,7105.0,8648.0,10109.0,11059.0,11130.0,10623.0,5473.0,5473.0
Paraguay,PRY,-45914.0,-44677.0,-40108.0,-26173.0,-20435.0,-17761.0,-17238.0,-16990.0,-16833.0,-16734.0,-16628.0,-16470.0,-16270.0,-8230.0,-8230.0
Perú,PER,-236705.0,-235263.0,-219304.0,-181284.0,-148270.0,-118758.0,-95149.0,-50381.0,2462.0,80725.0,104242.0,326831.0,136558.0,79456.0,68012.0
República Dominicana,DOM,-30898.0,-30605.0,-30468.0,-30489.0,-30572.0,-30615.0,-30563.0,-30449.0,-30310.0,-30181.0,-30055.0,-29944.0,-29830.0,-14966.0,-14966.0
San Vicente y las Granadinas,VCT,-1719.0,-1653.0,-1659.0,-1660.0,-1665.0,-1569.0,-1569.0,-1295.0,-1295.0,-1295.0,-847.0,-807.0,-758.0,-379.0,-379.0
Santa Lucía,LCA,-27.0,59.0,200.0,438.0,181.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trinidad y Tobago,TTO,-3731.0,-3624.0,-3056.0,-2230.0,-1410.0,-880.0,-796.0,-799.0,-583.0,-103.0,1446.0,35502.0,-19248.0,2370.0,2632.0
Uruguay,URY,-10752.0,-9460.0,-8510.0,-7696.0,-6982.0,-6318.0,-5655.0,-4914.0,-4156.0,-3506.0,-3090.0,-2963.0,-2902.0,-1486.0,-1486.0
Venezuela,VEN,-36052.0,-43636.0,-50286.0,-52784.0,-54377.0,-55130.0,-57815.0,-62437.0,-77421.0,-283326.0,-817764.0,-1356759.0,-976460.0,-525142.0,-525116.0
