country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Antigua y Barbuda,16006.1361107498,16457.1040632589,14530.5986896353,13404.5160161036,13117.1469408968,13686.4765853976,13350.149136673,14004.8112122163,14861.8827074704,15862.6516627488,16110.5562811025,17527.1696291931,18319.4560540762,14787.6357752901,15781.3957017982
Argentina,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.8641969705,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2424732447,14613.041824658,11795.1593866287,9963.6725062053,8496.42414176374,10636.1201956183
Bahamas,29687.865215033,29013.6302870767,27120.6905452145,27046.6576651879,26644.9265775896,28059.6553953426,27389.6019706988,28720.6621934516,30206.2404347372,29887.1648786795,30969.8761966819,31738.2671569969,32610.4850490784,23862.7109929122,27478.3896289831
Barbados,17219.0486803908,17550.6633410971,16310.4605337648,16489.7958217909,16907.2092592727,16691.3326357636,16893.6062702039,16924.1903399365,16990.2194668498,17343.7254395315,17843.1979282703,18224.8905923744,19002.9623813263,16643.8065787177,17225.4623044097
Belice,5707.11336494231,5656.40836062302,5348.9978387566,5397.29157482319,5521.36627642336,5645.89582239311,5887.93343545467,6068.08860885237,6142.47883269283,6148.70696109313,6100.99468097883,6059.16255306675,6210.56554311929,5266.87616004213,6228.26730928353
Bolivia,1351.04292545957,1687.58339321012,1725.14628617645,1922.0495309392,2304.96983521132,2562.46678423329,2853.79716191598,3022.46288443562,2975.64881137847,3013.5027077617,3280.00821346382,3471.00695064499,3472.38083075685,3068.81255507604,3345.19658873831
Brasil,7323.03362855509,8801.59948420962,8570.02256200077,11249.464543278,13200.7850823986,12327.3174365132,12258.5031683848,12071.1582132348,8783.22598387817,8680.76879182018,9896.68478335903,9121.08340257783,8845.25911841876,6794.48915877166,7507.16097080234
Canadá,44659.8951408034,46710.5055759013,40876.3101540295,47562.0834253057,52223.696112356,52669.0899632316,52635.1749580433,50955.9983232404,43596.1355365546,42315.6037056806,45129.4292980922,46548.6384108296,46328.6718408497,43258.2638715601,51987.9390529728
Chile,10461.3654213132,10783.1715606341,10182.860471021,12767.7812065383,14628.5724573037,15406.4929435446,15833.2752047998,14666.3435315712,13569.9478008231,13785.6883317516,15045.5276791243,15795.7084630954,14631.9468779229,13094.4595313609,16265.0959767147
Colombia,4760.98121037755,5527.44995277183,5244.353266184,6394.19870546282,7392.45236079278,8101.82909177914,8264.1268955859,8164.71449537797,6228.4262990412,5938.46385585875,6450.31958548124,6782.03792033195,6438.06018290435,5307.21522798919,6104.1367093039
Costa Rica,6055.08677891562,6841.91145979684,6737.86024507553,8147.24398481032,9137.45582337247,9971.65090241867,10633.2672527524,10737.6788809612,11529.9545258398,11899.8132624909,12118.1334111458,12383.1499737386,12669.341068679,12132.8768848243,12472.4437294954
Cuba,4814.85487568512,4992.82449445836,5094.43756186586,5275.53260105122,6106.0067919258,6467.33791422804,6814.24384354868,7117.52691001591,7683.75789050585,8055.88990736388,8543.36096849045,8831.90722233737,9139.41585605765,9499.59020230432,
Dominica,6126.84949580624,6661.46504737997,7109.9782527814,7182.40020254419,7288.49794777466,7054.87597689432,7240.67911908479,7498.91752183776,7724.04241057376,8223.04145029796,7408.09130082314,7833.19501250117,8561.58701121461,7003.46989117043,7653.17187042868
Ecuador,3579.03224391806,4260.43318396471,4240.70259271564,4640.24634437845,5202.65645902066,5678.45572070003,6050.3546113274,6374.6314856366,6130.58667556768,6079.08873612077,6246.40425217932,6321.34940071717,6233.25816692363,5645.19928965332,5965.13287054416
El Salvador,2814.58988893523,2964.172140237,2889.68588721937,3017.3073947577,3304.97418347889,3471.05126865498,3555.16209958481,3638.51765819162,3761.51368000275,3870.31298246063,3986.04901435439,4145.86235103186,4280.28840404719,3903.39583878605,4551.18466141298
Estados Unidos,48050.2237771135,48570.0459804586,47194.9433547336,48650.6431283336,50065.9665041742,51784.4185738837,53291.1276891406,55123.8497869046,56762.7294515989,57866.7449341091,59907.754260885,62823.309438197,65120.3946628653,63530.633483909,70248.6290002242
Granada,6790.63408004111,7343.44526962639,6810.44031784436,6760.96124360315,6775.7525011393,6900.77178600369,7205.26838352312,7726.40965652867,8379.62184743156,8849.51353500776,9309.23066697663,9574.27987254478,9887.92074235834,8437.56673228706,9010.57224466261
Guatemala,2490.74912665208,2802.46196190125,2651.81712283814,2852.54732650116,3228.0457411296,3355.03691881272,3522.77370621475,3779.64233613025,3994.63691288475,4173.30166619474,4454.04814983548,4485.73125489372,4647.69334663252,4604.57667897864,5025.5422907779
Guyana,3609.90792061468,4011.38755365136,4213.81622922287,4589.87324147321,4960.00472639074,5461.39096662381,5576.24930990457,5495.37619674792,5668.42976474423,5905.38019563205,6220.97856820609,6094.90885870963,6477.29672607993,6863.07434593017,9998.54431136155
Haití,1010.82040511242,1095.03445218489,1191.80415583743,1204.86230440584,1306.84612967841,1356.17288178571,1452.3121444609,1453.91747709273,1404.15521407257,1305.57129738556,1384.0383724393,1494.2249622283,1324.84400548618,1283.14082978936,1829.59304417211
Honduras,1559.88604406996,1713.41435757299,1762.34916029174,1874.27170372599,2053.96425516299,2107.35083070622,2064.54840619818,2164.42021860394,2257.2227122596,2295.53807949199,2403.30445120081,2457.68892139081,2519.37019370185,2354.11961431042,2771.71746050946
Jamaica,4738.44717544773,5056.25824455749,4452.12181188603,4835.79363761629,5259.92948717911,5365.24229295272,5143.72131166933,4991.56551872824,5077.55062188355,5022.70471701644,5273.15074381723,5594.49393466948,5626.17117652759,4897.26589668631,5183.58130458676
México,9719.92045203482,10119.8362111768,8104.90757907686,9399.97090779255,10341.5210484975,10376.0576664423,10865.6802017218,11076.0924511013,9753.38004823861,8875.06225558599,9434.38648739127,9857.02882925559,10145.1701829207,8655.00068206803,10045.6805004963
